"","자치구 기준일","year","month","day","종로구","중구","용산구","성동구","광진구","동대문구","중랑구","성북구","강북구","도봉구","노원구","은평구","서대문구","마포구","양천구","강서구","구로구","금천구","영등포구","동작구","관악구","서추구","강남구","송파구","강동구","기타"
"1","2022.02.14.","2022","02","14",96,91,256,336,477,345,317,458,338,326,1153,412,260,414,491,683,421,265,383,420,590,386,632,726,588,735
"2","2022.02.13.","2022","02","13",184,111,248,408,448,375,522,616,307,360,456,453,198,479,534,656,483,230,357,435,595,430,747,800,664,728
"3","2022.02.12.","2022","02","12",215,120,240,237,419,471,488,537,255,401,544,693,402,490,484,992,489,297,402,503,696,510,917,738,689,969
"4","2022.02.11.","2022","02","11",162,105,241,168,438,401,467,525,341,399,516,560,348,372,476,554,401,308,455,383,951,487,546,694,643,590
"5","2022.02.10.","2022","02","10",92,106,217,332,457,340,287,482,235,327,703,558,435,429,482,891,467,237,446,413,666,418,841,697,724,593
"6","2022.02.09.","2022","02","09",143,212,246,236,382,360,536,605,238,349,958,700,261,401,477,322,443,263,393,455,289,428,824,1048,474,639
"7","2022.02.08.","2022","02","08",57,15,122,102,301,225,247,295,219,218,247,295,232,252,280,168,229,108,241,276,170,221,467,224,363,336
"8","2022.02.07.","2022","02","07",77,94,147,53,288,217,311,289,213,222,224,272,145,258,401,316,236,155,278,340,377,315,166,695,386,413
"9","2022.02.06.","2022","02","06",106,97,151,310,322,281,303,265,223,257,377,314,184,208,372,186,269,159,322,389,363,397,238,714,479,535
"10","2022.02.05.","2022","02","05",106,89,160,227,284,276,242,386,203,243,499,385,170,336,359,305,341,198,296,480,588,478,261,773,436,477
"11","2022.02.04.","2022","02","04",70,110,174,159,223,184,210,334,142,214,216,185,179,236,329,233,217,186,234,222,161,405,200,473,462,402
"12","2022.02.03.","2022","02","03",76,72,155,149,213,160,210,260,167,205,217,145,111,222,288,149,165,48,223,256,240,213,193,423,307,351
"13","2022.02.02.","2022","02","02",43,62,129,205,191,98,103,122,121,148,97,105,133,198,221,128,160,135,183,165,283,170,149,389,219,252
"14","2022.02.01.","2022","02","01",41,54,96,108,170,138,163,238,107,106,197,124,105,146,197,195,140,105,141,170,185,115,286,282,213,309
"15","2022.01.31.","2022","01","31",59,35,101,119,187,131,127,147,85,90,219,99,90,170,209,216,139,75,154,182,306,186,255,306,214,292
"16","2022.01.30.","2022","01","30",53,56,99,122,160,138,147,167,82,118,195,197,123,162,192,211,151,66,155,193,205,187,204,286,209,307
"17","2022.01.29.","2022","01","29",53,64,112,99,144,124,145,158,100,120,211,148,114,183,195,242,157,63,165,146,256,220,248,269,192,271
"18","2022.01.28.","2022","01","28",52,49,110,124,180,180,119,168,73,115,172,132,120,159,216,108,140,76,159,194,205,192,257,289,166,236
"19","2022.01.27.","2022","01","27",50,39,80,97,131,108,130,148,79,84,156,124,100,155,156,121,117,68,129,161,223,172,217,249,135,200
"20","2022.01.26.","2022","01","26",37,34,89,88,139,73,135,164,51,63,194,117,111,143,149,58,104,62,127,145,236,128,219,176,130,206
"21","2022.01.25.","2022","01","25",27,33,36,50,121,25,45,76,32,23,124,35,48,45,66,87,44,15,83,67,96,85,165,116,58,122
"22","2022.01.24.","2022","01","24",39,18,46,51,76,54,39,51,28,47,54,50,68,66,67,68,46,36,57,71,112,71,140,111,71,142
